smiles,atc_level1,atc_numeric
O=[N+]([O-])OCC(CO[N+](=O)[O-])O[N+](=O)[O-],C - CARDIOVASCULAR SYSTEM,2
O=[N+]([O-])OCC(CO[N+](=O)[O-])O[N+](=O)[O-],C - CARDIOVASCULAR SYSTEM,2
O=[N+]([O-])OCC(CO[N+](=O)[O-])O[N+](=O)[O-],C - CARDIOVASCULAR SYSTEM,2
CCCN(CC)C(CC)C(=O)Nc1c(C)cccc1C,N - NERVOUS SYSTEM,9
CCCN(CC)C(CC)C(=O)Nc1c(C)cccc1C,N - NERVOUS SYSTEM,9
[Xe],N - NERVOUS SYSTEM,9
CC(C)NCC1CCc2cc(CO)c([N+](=O)[O-])cc2N1,"P - ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",10
C[C@]12COC(=O)C[C@@H]1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O,A - ALIMENTARY TRACT AND METABOLISM,0
CCOC(=O)C1=C(C)NC(C)=C(C(=O)OCC)C1c1ccccc1/C=C/C(=O)OC(C)(C)C,C - CARDIOVASCULAR SYSTEM,2
CC(C)OC(=O)[C@H](C)N[P@](=O)(CO[C@H](C)Cn1cnc2c(N)ncnc21)Oc1ccccc1,J - ANTIINFECTIVES FOR SYSTEMIC USE,6
COc1cc(C(=O)NS(=O)(=O)c2ccccc2C)ccc1Cc1cn(C)c2ccc(NC(=O)OC3CCCC3)cc12,R - RESPIRATORY SYSTEM,11
CCCC(=O)O[C@]1(C(=O)COC(=O)CC)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,D - DERMATOLOGICALS,3
N#Cc1cccc(C(NCC2CC2)c2ccc(F)c(NC(=O)c3cc(C(F)(F)F)nn3-c3cccc(CN)c3)c2)c1,B - BLOOD AND BLOOD FORMING ORGANS,1
CN1CCN(CC/C=C2/c3ccccc3Sc3ccc(S(=O)(=O)N(C)C)cc32)CC1,N - NERVOUS SYSTEM,9
CC(C)(N)Cc1ccccc1,A - ALIMENTARY TRACT AND METABOLISM,0
CNC(=O)c1ccc(-c2cnc3ncc(Cc4ccc5ncccc5c4)n3n2)cc1F,L - ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,7
O=C1CN=C(c2ccccc2)c2cc([N+](=O)[O-])ccc2N1,N - NERVOUS SYSTEM,9
